label,text
Positive,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Negative,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Positive,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Negative,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Positive,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Positive,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Negative,"Evaluation of alterations in the level of the five major electrophoretic fractions of serum proteins (albumin, alpha 1-, alpha 2-, beta- and gamma-globulin) in 18 patients with prostatic cancer prior to and following cryoprostatectomy disclosed: (i) a progressive increase in the level of alpha 2- and beta-globulin and the incidence of patients possessing statistically significant (p less than 0.05) elevations in these proteins with a progression of the stage of their malignancy; (ii) a significant decrease in albumin, alpha 2- and beta-globulin and increase in alpha 1- and gamma-globulin from their preoperative levels following cryoprostatectomy in patients with metastatic disease (stage III) in association with a favorable clinical response; (iii) an overall significant decrease in albumin and alpha 2-globulin and increase in alpha 1-globulin from their preoperative levels and (iv) a general association of decreases in albumin (83% of the patients) and alpha 2-globulin (92%) and gamma-globulin (75%) with a favorable clinical response following cryoprostatectomy."
Positive,Trefoil factor 3 is overexpressed in human prostate cancer.
Positive,Recent cDNA array analyses suggest that human intestinal trefoil factor 3 (TFF3) may be overexpressed in human prostate cancer.
Positive,Recent cDNA array analyses suggest that human intestinal trefoil factor 3 (TFF3) may be overexpressed in human prostate cancer.
Positive,These studies validate that TFF3 is overexpressed in a subset of primary and metastic prostate cancers.
Negative,"Furthermore, E1 induced a twofold increase in connexin 43 (Cx43), whereas forskolin caused a 50% reduction in Cx32 expression in RWPE-1 cells."
Positive,"Furthermore, E1 induced a twofold increase in connexin 43 (Cx43), whereas forskolin caused a 50% reduction in Cx32 expression in RWPE-1 cells."
Positive,"Furthermore, E1 induced a twofold increase in connexin 43 (Cx43), whereas forskolin caused a 50% reduction in Cx32 expression in RWPE-1 cells."
Positive,"Arsenite induces HIF-1alpha and VEGF through PI3K, Akt and reactive oxygen species in DU145 human prostate carcinoma cells."
Positive,"Arsenite induces HIF-1alpha and VEGF through PI3K, Akt and reactive oxygen species in DU145 human prostate carcinoma cells."
Positive,"Arsenite induces HIF-1alpha and VEGF through PI3K, Akt and reactive oxygen species in DU145 human prostate carcinoma cells."
Positive,"Arsenite induces HIF-1alpha and VEGF through PI3K, Akt and reactive oxygen species in DU145 human prostate carcinoma cells."
Positive,Here we demonstrate that arsenite induces the expression of HIF-1alpha but not HIF-1beta subunit in DU145 human prostate carcinoma cells.
Positive,Here we demonstrate that arsenite induces the expression of HIF-1alpha but not HIF-1beta subunit in DU145 human prostate carcinoma cells.
Positive,"The differentiation-related gene 1, Drg1, is markedly upregulated by androgens in LNCaP prostatic adenocarcinoma cells."
Positive,"Basal levels and adrenocorticotropic hormone (ACTH)-induced increments (delta-values) of serum cortisol, dehydroepiandrosterone (DHA), dehydroepiandrosterone sulfate (DHAS), 4-androstene-3, 17-dione (A4), and 17-hydroxyprogesterone (170HP); basal testosterone (T), luteinizing hormone (LH), serum ASAT, gamma-GT, and albumin were measured in prostatic cancer patients before and after 6 months of treatment with LH-RH-agonist, with flutamide, and with LH-RH-agonist + flutamide, respectively."
Positive,"Basal levels and adrenocorticotropic hormone (ACTH)-induced increments (delta-values) of serum cortisol, dehydroepiandrosterone (DHA), dehydroepiandrosterone sulfate (DHAS), 4-androstene-3, 17-dione (A4), and 17-hydroxyprogesterone (170HP); basal testosterone (T), luteinizing hormone (LH), serum ASAT, gamma-GT, and albumin were measured in prostatic cancer patients before and after 6 months of treatment with LH-RH-agonist, with flutamide, and with LH-RH-agonist + flutamide, respectively."
Positive,"Basal levels and adrenocorticotropic hormone (ACTH)-induced increments (delta-values) of serum cortisol, dehydroepiandrosterone (DHA), dehydroepiandrosterone sulfate (DHAS), 4-androstene-3, 17-dione (A4), and 17-hydroxyprogesterone (170HP); basal testosterone (T), luteinizing hormone (LH), serum ASAT, gamma-GT, and albumin were measured in prostatic cancer patients before and after 6 months of treatment with LH-RH-agonist, with flutamide, and with LH-RH-agonist + flutamide, respectively."
Positive,The most prominent of these progressive changes is the up-regulation of AR that occurs in &gt;90% of prostate cancers.
Positive,These events result in increased accumulation of AR and thus enhanced growth of prostate cancer cells at low levels of androgen.
Positive,About 50% of prostate cancers have TMPRSS2-ERG fusions with concurrent ERG overexpression.
Positive,Inhibition of ligand-mediated HER2 activation in androgen-independent prostate cancer.
Positive,"In both PC-3 and PC-3U cells, TGF-beta 1 was found to stimulate the induction of fibronectin and plasminogen activator inhibitor-1 and the expression of junB mRNA, and PMA did not affect these responses."
Positive,"In both PC-3 and PC-3U cells, TGF-beta 1 was found to stimulate the induction of fibronectin and plasminogen activator inhibitor-1 and the expression of junB mRNA, and PMA did not affect these responses."
Positive,"In both PC-3 and PC-3U cells, TGF-beta 1 was found to stimulate the induction of fibronectin and plasminogen activator inhibitor-1 and the expression of junB mRNA, and PMA did not affect these responses."
Positive,"Similarly, activation of the AR by phosphorylated protein kinase B, Akt, has also been reported in prostate cancer."
Positive,"Similarly, activation of the AR by phosphorylated protein kinase B, Akt, has also been reported in prostate cancer."
Positive,Overexpression of manganese superoxide dismutase in DU145 human prostate carcinoma cells has multiple effects on cell phenotype.
Positive,"DU145 human prostate carcinoma cells were transfected with the cDNA for manganese superoxide dismutase (MnSOD), and two clones overexpressing MnSOD activity were subsequently characterized by comparison with parental and plasmid control-transfected cells."
Positive,"Our results suggest novel mechanisms by which MnSOD overexpression may modulate the malignant phenotype, with potential applications in developing new therapies for prostate cancer."
Positive,Overexpression of p45-sErbB3 in the osteolytic prostate cancer cell line PC-3 converted its phenotype from bone lysing to bone forming upon injection into the femurs of immunodeficient mice.
Positive,Accumulation of p53 protein in the absence of detectable mutant p53 was recognized more often in prostate cancer than in any other tumor examined.
Positive,L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and N-myc downstream regulated gene 1 in prostate carcinoma cells.
Positive,L-mimosine blocks cell proliferation via upregulation of B-cell translocation gene 2 and N-myc downstream regulated gene 1 in prostate carcinoma cells.
Positive,"Immunoblot assays indicated that hypoxia and L-mimosine stabilized hypoxia-inducible factor-1 α (HIF-1α) and induced Btg2 and Ndrg1 protein expression, but downregulated protein levels of cyclin A in both PC-3 and LNCaP cells."
Positive,"Immunoblot assays indicated that hypoxia and L-mimosine stabilized hypoxia-inducible factor-1 α (HIF-1α) and induced Btg2 and Ndrg1 protein expression, but downregulated protein levels of cyclin A in both PC-3 and LNCaP cells."
Positive,"Immunoblot assays indicated that hypoxia and L-mimosine stabilized hypoxia-inducible factor-1 α (HIF-1α) and induced Btg2 and Ndrg1 protein expression, but downregulated protein levels of cyclin A in both PC-3 and LNCaP cells."
Negative,"L-mimosine treatment decreased cyclin D1 protein in PC-3 cells, but not in LNCaP cells."
Positive,"Dimethyloxalylglycine, a pan-prolyl hydroxylase inhibitor, also induced Btg2 and Ndrg1 protein expression in LNCaP cells."
Positive,"Dimethyloxalylglycine, a pan-prolyl hydroxylase inhibitor, also induced Btg2 and Ndrg1 protein expression in LNCaP cells."
Positive,"Dimethyloxalylglycine, a pan-prolyl hydroxylase inhibitor, also induced Btg2 and Ndrg1 protein expression in LNCaP cells."
Negative,Knockdown of HIF-1α attenuated the increasing protein levels of both Btg2 and Ndrg1 by hypoxia or L-mimosine in LNCaP cells.
Positive,Knockdown of HIF-1α attenuated the increasing protein levels of both Btg2 and Ndrg1 by hypoxia or L-mimosine in LNCaP cells.
Positive,Knockdown of HIF-1α attenuated the increasing protein levels of both Btg2 and Ndrg1 by hypoxia or L-mimosine in LNCaP cells.
Positive,"L-mimosine enhanced expression of Btg2 and Ndrg1, which attenuated cell proliferation of the PC-3 and LNCaP prostate carcinoma cells."
Positive,"L-mimosine enhanced expression of Btg2 and Ndrg1, which attenuated cell proliferation of the PC-3 and LNCaP prostate carcinoma cells."
Negative,"Further, treating specific inhibitors for PI3K (Wortmannin) or JNK (SP600125) to PC-3 cells could reduce the protein expressions of MMP-2 and MMP-9."
Negative,"Further, treating specific inhibitors for PI3K (Wortmannin) or JNK (SP600125) to PC-3 cells could reduce the protein expressions of MMP-2 and MMP-9."
Negative,These results showed fisetin could inhibit the metastatic ability of PC-3 by reducing MMP-2 and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.
Negative,These results showed fisetin could inhibit the metastatic ability of PC-3 by reducing MMP-2 and MMP-9 expressions through suppressing phosphoinositide 3-kinase/Akt (PI3K/Akt) and JNK signaling pathways.
Negative,The expression of the p75 neurotrophin receptor (p75NTR) is diminished in epithelial cells during progression of prostate cancer in vivo and in vitro.
Negative,The expression of the p75 neurotrophin receptor (p75NTR) is diminished in epithelial cells during progression of prostate cancer in vivo and in vitro.
Positive,"Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of prostate cancer cells by up-regulating the expression of CRABPI for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta."
Positive,"Hence, re-expression of the p75NTR appears to partially reverse de-differentiation of prostate cancer cells by up-regulating the expression of CRABPI for localized sequestration of retinoids that are available to newly up-regulated RAR-beta, RXR-alpha, and RXR-beta."
Positive,Ubiquitous mitochondrial creatine kinase is overexpressed in the conditioned medium and the extract of LNCaP lineaged androgen independent cell lines and facilitates prostate cancer progression.
Positive,uMtCK was up-regulated in AIPC cells and in human prostate cancer tissues at WHO grade III.
Positive,"Exogenous uMtCK in LNCaP cells surprisingly contributed to overproduction of ROS, activation of Akt signaling pathway and more aggressive phenotypes including androgen independence development."
Positive,Quercetin-induced growth inhibition and cell death in prostatic carcinoma cells (PC-3) are associated with increase in p21 and hypophosphorylated retinoblastoma proteins expression.
Positive,Quercetin-induced growth inhibition and cell death in prostatic carcinoma cells (PC-3) are associated with increase in p21 and hypophosphorylated retinoblastoma proteins expression.
Positive,Quercetin-induced growth inhibition and cell death in prostatic carcinoma cells (PC-3) are associated with increase in p21 and hypophosphorylated retinoblastoma proteins expression.
Positive,Quercetin-induced growth inhibition and cell death in prostatic carcinoma cells (PC-3) are associated with increase in p21 and hypophosphorylated retinoblastoma proteins expression.
Positive,Androgen-sensitive LNCaP prostate cancer cells engineered to stably overexpress CDK6 display increased expression of the prostate-specific antigen and enhanced growth in the presence of dihydrotestosterone.
Positive,Arsenite induces p70S6K1 activation and HIF-1alpha expression in prostate cancer cells.
Positive,Arsenite induces p70S6K1 activation and HIF-1alpha expression in prostate cancer cells.
Positive,"We have also shown that arsenite specifically induces HIF-1alpha, but not HIF-1beta, protein levels in prostate cancer cells in a mTOR-dependent manner."
Positive,Quinazoline-based alpha 1-adrenoceptor antagonists induce prostate cancer cell apoptosis via TGF-beta signalling and I kappa B alpha induction.
Positive,"Treatment of the androgen-independent human prostate cancer cells PC-3 with doxazosin resulted in a strong caspase-3 activation within 24 h, whereas tamsulosin, a sulphonamide-based alpha 1-adrenoceptor antagonist, had no significant apoptotic effect against prostate cancer cells."
Positive,These findings suggest that the quinazoline-based doxazosin mediates prostate cancer apoptosis by initially inducing the expression of TGF-beta1 signalling effectors and subsequently I kappa B alpha.
Positive,[Overexpression of human tumor metastasis-related gene TMSG-1 suppresses cell proliferation and invasion of a highly metastatic prostate cancer cell line PC-3M-1E8 in vitro].
Positive,"The compound investigated is present in a herbal preparation extracted from Boswellia serrata oleo-gum-resin, it inhibits the growth of chemotherapy-resistant human PC-3 prostate cancer cells in vitro and induces apoptosis as shown by activation of caspase 3 and the induction of DNA fragmentation."
Positive,OC expression is elevated in prostate tumor cells and in prostate and bone stromal cells interdigitating with both localized and metastatic prostate epithelium.
Negative,"After glioma pathogenesis-related protein 1 (GLIPR1/Glipr1) was identified, the expression of GLIPR1 was shown to be down-regulated in human prostate cancer, owing in part to methylation in the regulatory region of this gene in prostate cancer cells."
Positive,"Angiogenic cytokines such as vascular endothelial growth factor (VEGF) have been identified in prostate cancer cells and tumours, and androgens appear to stimulate VEGF."
Positive,"Overexpression of 12/15-lipoxygenase, an ortholog of human 15-lipoxygenase-1, in the prostate tumors of TRAMP mice."
Positive,"Overexpression of the enhancer of zeste homolog 2 (EZH2) protein, a known repressor of gene transcription, has been reported to be associated with biological malignancy of prostate cancer and several other cancers."
Positive,"We critically review the recent advances in prostate cancer immunohistochemistry, including the introduction of newer basal cell markers such as p63 and the discovery of the overexpression of alpha-methylacyl coenzyme A racemase (AMACR) in prostate cancer."
Positive,"The proportion of PSA-ACT is increased in prostate cancer (PCa), but immunologic determination of PSA-ACT is hampered by a background produced by nonspecific adsorption of ACT to the solid phase."
Negative,"However, in this issue of the JCI, Sharma et al. show that RB1 loss is a late event in human prostate cancer that is coincident with the emergence of castrate-resistant metastatic disease."
Positive,Elevated serum chromogranin A precedes prostate-specific antigen elevation and predicts failure of androgen deprivation therapy in patients with advanced prostate cancer.
Negative,"The gene array revealed decreased expression of ADAMTS1, ephrin-A5, fibronectin 1, and neuropilin 1 in LNCaP-19 compared to LNCaP, while expression of midkine and VEGF were increased."
Negative,"The gene array revealed decreased expression of ADAMTS1, ephrin-A5, fibronectin 1, and neuropilin 1 in LNCaP-19 compared to LNCaP, while expression of midkine and VEGF were increased."
Negative,"The gene array revealed decreased expression of ADAMTS1, ephrin-A5, fibronectin 1, and neuropilin 1 in LNCaP-19 compared to LNCaP, while expression of midkine and VEGF were increased."
Positive,"The gene array revealed decreased expression of ADAMTS1, ephrin-A5, fibronectin 1, and neuropilin 1 in LNCaP-19 compared to LNCaP, while expression of midkine and VEGF were increased."
Negative,"The gene array revealed decreased expression of ADAMTS1, ephrin-A5, fibronectin 1, and neuropilin 1 in LNCaP-19 compared to LNCaP, while expression of midkine and VEGF were increased."
Positive,Increased expression of bone morphogenetic protein-7 in bone metastatic prostate cancer.
Positive,"(3) Of the 2,272 men, 284 had elevated PSA levels and prostate carcinoma was detected in 62 men."
Positive,"In the first prospective study, 106 of 158 men with elevated PSA levels &lt;10.0 ng/ml were further evaluated and 37 prostate carcinomas were detected."
Positive,Overexpression of clusterin in LNCaP cells confers resistance to both androgen ablation and chemotherapy.
Positive,"In contrast to previous findings by others, PPAR-gamma ligands did not induce PPAR-gamma expression in EC or PC-3."
Negative,"Low COX-2 expression in PC-3 was up-regulated by serum, and 15d-PGJ(2) blocked serum-induced COX-2 expression and activity in a dose-dependent manner."
Positive,The present study showed that PPAR-gamma activation can be an important regulator of COX-2 in prostate cells and may be an important target for prostate cancer chemoprevention.
Positive,"Overexpression of HER2 has independent prognostic significance in early breast cancer and may also predict response to hormonal and cytotoxic therapies, although this latter role is less well studied."
Negative,"Loss of c-kit expression has been reported in 80-90% of breast cancer specimens, suggesting a possible role in the development of tumors."
Negative,"Triple-negative (TN) breast cancers lack estrogen receptor (ER), progesterone receptor (PR), and HER2/neu amplification (HER2)."
Negative,"Triple-negative (TN) breast cancers lack estrogen receptor (ER), progesterone receptor (PR), and HER2/neu amplification (HER2)."
Negative,"Importantly, this signaling circuit is manifest in human cancer cells and in a mouse model of ErbB2-driven breast cancer, where IL6 loss significantly impairs tumorigenesis."
Negative,"Treatment of MCF-7 cells with the peroxisome proliferator-activated receptor (PPAR) gamma agonists ciglitazone or 15-deoxy-Delta 12,14-prostaglandin J2 resulted in a concentration- and time-dependent decrease of cyclin D1 and estrogen receptor (ER) alpha proteins, and this was accompanied by decreased cell proliferation and G(1)-G(0)-->S-phase progression."
Negative,"Treatment of MCF-7 cells with the peroxisome proliferator-activated receptor (PPAR) gamma agonists ciglitazone or 15-deoxy-Delta 12,14-prostaglandin J2 resulted in a concentration- and time-dependent decrease of cyclin D1 and estrogen receptor (ER) alpha proteins, and this was accompanied by decreased cell proliferation and G(1)-G(0)-->S-phase progression."
Positive,"In conclusion, three consecutive microarray (CGH, cDNA and tissue) experiments revealed high-level amplification and overexpression of the FGFR2 in a breast cancer cell line, but only a low frequency of involvement in primary breast tumors."
Positive,"Transfection of HER2 in MCF7 breast cancer cells that express HER3 caused a phosphoinoside-3 kinase (PI-3K)-dependent activation of Akt, and was associated with an increased resistance of the cells to multiple chemotherapeutic agents (paclitaxel, doxorubicin, 5-fluorouracil, etoposide, and camptothecin)."
Positive,"Transfection of HER2 in MCF7 breast cancer cells that express HER3 caused a phosphoinoside-3 kinase (PI-3K)-dependent activation of Akt, and was associated with an increased resistance of the cells to multiple chemotherapeutic agents (paclitaxel, doxorubicin, 5-fluorouracil, etoposide, and camptothecin)."
Positive,MCF-7 (estrogen receptor positive--ER+) and MDA-MB-231 (estrogen receptor negative--ER-) are human breast cancer cell lines which express functional thyroid hormone receptors (c-erb A alpha1 and c-erb beta1) as indicated by stimulation of mitochondrial alpha-glycerophosphate dehydrogenase.
Positive,"In MCF-7, mimicking E2, T3 stimulated growth in a dose-dependent (10(10) M - 10(-8) M) manner, induced the expression of progesterone receptor and growth factor TGFalpha mRNAs and inhibited that of TGFbeta mRNA; T3 also increased progesterone binding and LDH5 isozyme activities."
Positive,"In MCF-7, mimicking E2, T3 stimulated growth in a dose-dependent (10(10) M - 10(-8) M) manner, induced the expression of progesterone receptor and growth factor TGFalpha mRNAs and inhibited that of TGFbeta mRNA; T3 also increased progesterone binding and LDH5 isozyme activities."
Positive,"In MCF-7, mimicking E2, T3 stimulated growth in a dose-dependent (10(10) M - 10(-8) M) manner, induced the expression of progesterone receptor and growth factor TGFalpha mRNAs and inhibited that of TGFbeta mRNA; T3 also increased progesterone binding and LDH5 isozyme activities."
Positive,"10(-6) M tamoxifen (TAM) reverted growth stimulation, suppressed progesterone receptor and TGFalpha mRNA induction and restored TGFbeta mRNA to control levels in T3-treated MCF-7 cells."
Negative,"10(-6) M tamoxifen (TAM) reverted growth stimulation, suppressed progesterone receptor and TGFalpha mRNA induction and restored TGFbeta mRNA to control levels in T3-treated MCF-7 cells."
Positive,"10(-6) M tamoxifen (TAM) reverted growth stimulation, suppressed progesterone receptor and TGFalpha mRNA induction and restored TGFbeta mRNA to control levels in T3-treated MCF-7 cells."
Positive,"Expression of C2GnT1 is low or absent in around 50% of breast cancers, whereas expression of ST3Gal-I is consistently increased."
Positive,"Thus, even when C2GnT1 is expressed, the O-glycans added to MUC1 become core 1-dominated structures, provided expression of ST3Gal-I is increased as it is in breast cancer."
Positive,"HER2 overexpression/amplification, which is an early event in breast cancer development, is associated with a poor prognosis and may predict response to therapy."
Positive,Overexpressing ID2 in the MDA-MB-468 breast cancer cell line generated a marked cytoplasmic localisation of the protein and reduced the invasive capacity of cells.
Negative,The cellular retinol binding protein I gene (CRBP) is downregulated in a subset of human breast cancers and in MMTV-Myc induced mouse mammary tumors.
Negative,The cellular retinol binding protein I gene (CRBP) is downregulated in a subset of human breast cancers and in MMTV-Myc induced mouse mammary tumors.
Negative,Functional studies suggest that CRBP downregulation contributes to breast tumor progression.
Positive,"The insLQ polymorphism increases LHR activity, thereby shortening breast cancer disease-free survival, probably by increasing estrogen exposure in female carriers."
Positive,IFN-alpha increased the cell surface expression of DR antigen only in ZR-75-1 cells.
Positive,"IL-1-alpha induced a moderate level of HLA class I antigen in ZR-75-1, BT-20 and MDA-MB-468 cells, and HLA class II (DR) expression only in ZR-75-1 cells."
Positive,No statistically significant association was found between increased PTPase activity and either c-erbB-2 overexpression or grade and stage of disease in primary human mammary tumors.
Positive,No statistically significant association was found between increased PTPase activity and either c-erbB-2 overexpression or grade and stage of disease in primary human mammary tumors.
Positive,Administration of exogenous LTB4 (1-10 nmol/L) was able to stimulate the promoter activity of FASN in MCF-7 cells.
Negative,"In aggregate, these studies support the notion that TGF-beta plays an important role in both bone-and lung metastases of basal-like breast cancer, and that inhibiting TGF-beta signaling results in a therapeutic effect independently of the tissue-tropism of the metastatic cells."
Negative,Loss of profilin-1 expression enhances breast cancer cell motility by Ena/VASP proteins.
Negative,"Herein, we demonstrate that loss of Pfn1 expression leads to slower but more stable lamellipodial protrusion thereby enhancing the net protrusion rate and the overall motility of MDA-MB-231 breast cancer cells."
Negative,"Interestingly, MDA-MB-231 cells showed dramatic enrichment of VASP at their leading edge when Pfn1 expression was downregulated and this observation was also reproducible in other cell types including human mammary epithelial cells and vascular endothelial cells."
Negative,We further demonstrate that Pfn1 downregulation results in a hyper-motile phenotype of MDA-MB-231 cells in an Ena/VASP-dependent mechanism.
Positive,We conclude that c-erbB-2 protein overexpression assessed by IHC is a superior prognostic indicator in operable breast cancer compared to c-erbB-2 gene amplification analysed by the dot-blot technique.
Negative,Effects of Fadrozole (CGS 16949A) and Letrozole (CGS 20267) on the inhibition of aromatase activity in breast cancer patients.
Negative,The inhibition of aromatase activity by these imidazole derivatives as second line therapy for patients with hormone dependent breast cancer appears to be a favorable alternative form of hormone ablative therapy and holds considerable promise for the treatment of this malignancy.
Negative,"The analysis of E-cadherin glycoprotein expression is a powerful tool for distinguishing lobular from ductal carcinomas, because complete loss of E-cadherin expression occurs in most infiltrating lobular tumors and lobular carcinomas in situ, but not in ductal tumors."
Negative,"We show, for the first time in a transgenic mouse model, that mammary tumor progression is associated with the loss of ERalpha expression, as has been often observed in human breast cancers with important clinical significance."
Negative,"A strong association has been observed between reduced expression of the nm23 gene and acquisition of metastatic behaviour in some tumour cells, including breast cancer and melanoma, but not in others, such as neuroblastoma and colon, cervical and thyroid cancers."
Positive,"Here, we show that overexpression of BIRC5 induces a high proliferation level in MCF-7 breast tumor cells."
Positive,ErbB2 increases vascular endothelial growth factor protein synthesis via activation of mammalian target of rapamycin/p70S6K leading to increased angiogenesis and spontaneous metastasis of human breast cancer cells.
Positive,ErbB2 overexpression in breast tumors results in increased metastasis and angiogenesis and reduced survival.
Negative,"Here we show that heterozygous inactivation of the tumor suppressor gene Pten leads to the formation of basal-like mammary tumors in mice, and that loss of PTEN expression is significantly associated with the BBC subtype in human sporadic and BRCA1-associated hereditary breast cancers."
Negative,"Here we show that heterozygous inactivation of the tumor suppressor gene Pten leads to the formation of basal-like mammary tumors in mice, and that loss of PTEN expression is significantly associated with the BBC subtype in human sporadic and BRCA1-associated hereditary breast cancers."
Positive,HER-2 over-expression was observed in 18.1% of Tunisian breast carcinoma affecting female patients.
Positive,"Here, we defined a new mechanism for IMC-C225 that cross-links integrins with EGFR, leading to activation of RhoA and inhibition of breast cancer cell invasion irrespective of the level of EGFR in the cells, thus providing a rationale for using IMC-C225 in the metastatic setting independent of the levels of EGFR."
Negative,"Southern analysis of breast cancer profiling arrays revealed that 29 patients (group I) expressed an elevated LF, 10 patients (group II) showed decreased LF, and 8 patients (group III) had no change relative to the adjacent normal tissue."
Positive,This study suggests that the Asn allele in the SHBG gene may be related to a reduced risk of breast cancer among postmenopausal women by increasing their blood SHBG levels.
Positive,Activated STAT3 correlated with elevated cyclin D1 protein in primary breast tumors and breast cancer-derived cell lines.
Positive,Activated STAT3 correlated with elevated cyclin D1 protein in primary breast tumors and breast cancer-derived cell lines.
Negative,"Furthermore, knockdown of cyclin D1 in breast carcinoma cells led to a reduction in anchorage-independent growth."
Positive,The EphA2 receptor tyrosine kinase is frequently overexpressed in invasive breast cancer cells.
Negative,"AGR2 knockdown induced cell death in ZR-75-1 and T47 D cells, and also downregulated survivin and c-Myc."
Negative,"AGR2 knockdown induced cell death in ZR-75-1 and T47 D cells, and also downregulated survivin and c-Myc."
Negative,"AGR2 knockdown induced cell death in ZR-75-1 and T47 D cells, and also downregulated survivin and c-Myc."
Positive,"Increased cellular activity of ornithine decarboxylase (ODC), the first and rate-limiting enzyme in polyamine (PA) synthesis, is an independent adverse prognostic factor for overall survival in human breast cancer, thus suggesting an important role for PA in tumor progression."
